央视频道,#genre#
CCTV-1 综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1 综合,http://qwe.iptviptv.site:9694/hls/1/index.m3u8
CCTV-2 财经,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2 财经,http://qwe.iptviptv.site:9694/hls/2/index.m3u8
CCTV-3 综艺,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-3 综艺,http://qwe.iptviptv.site:9694/hls/3/index.m3u8
CCTV-4 中文国际,http://qwe.iptviptv.site:9694/hls/4/index.m3u8
CCTV-5 体育,http://qwe.iptviptv.site:9694/hls/5/index.m3u8
CCTV-6 电影,http://qwe.iptviptv.site:9694/hls/6/index.m3u8
CCTV-5+ 体育赛事,http://qwe.iptviptv.site:9694/hls/136/index.m3u8
CCTV-7 国防军事,http://qwe.iptviptv.site:9694/hls/7/index.m3u8
CCTV-8 电视剧,http://qwe.iptviptv.site:9694/hls/8/index.m3u8
CCTV-9 纪录,http://qwe.iptviptv.site:9694/hls/9/index.m3u8
CCTV-10 科教,http://qwe.iptviptv.site:9694/hls/10/index.m3u8
CCTV-11 戏曲,http://qwe.iptviptv.site:9694/hls/11/index.m3u8
CCTV-12 社会与法,http://qwe.iptviptv.site:9694/hls/12/index.m3u8
CCTV-13 新闻,http://qwe.iptviptv.site:9694/hls/13/index.m3u8
CCTV-14 少儿,http://qwe.iptviptv.site:9694/hls/14/index.m3u8
CCTV-15 音乐,http://qwe.iptviptv.site:9694/hls/15/index.m3u8
CCTV-16 奥林匹克,http://qwe.iptviptv.site:9694/hls/16/index.m3u8
CCTV-17 农业高清,http://qwe.iptviptv.site:9694/hls/17/index.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
体育频道,#genre#
CCTV-5 体育,http://qwe.iptviptv.site:9694/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://qwe.iptviptv.site:9694/hls/136/index.m3u8
CCTV-5 体育,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
广东体育,http://qwe.iptviptv.site:9694/hls/456/index.m3u8
劲爆体育,http://[2409:8087:5e08:24::11]:6610/000000001000/2000000002000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000008&IASHttpSeqweionId=OTT19019320240419154124000281
五星体育,http://qwe.iptviptv.site:9694/hls/150/index.m3u8
超级体育,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
风云足球,http://qwe.iptviptv.site:9694/hls/704/index.m3u8
央视台球,http://qwe.iptviptv.site:9694/hls/705/index.m3u8
高尔夫网球,http://qwe.iptviptv.site:9694/hls/706/index.m3u8
快乐垂钓,http://qwe.iptviptv.site:9694/hls/714/index.m3u8
天元围棋,http://qwe.iptviptv.site:9694/hls/715/index.m3u8
劲爆体育,http://qwe.iptviptv.site:9694/hls/718/index.m3u8
魅力足球,http://qwe.iptviptv.site:9694/hls/719/index.m3u8
北京体育,http://qwe.iptviptv.site:9694/hls/800/index.m3u8
广东频道,#genre#
广东卫视,http://qwe.iptviptv.site:9694/hls/450/index.m3u8
广东珠江,http://qwe.iptviptv.site:9694/hls/451/index.m3u8
大湾区卫视,http://qwe.iptviptv.site:9694/hls/452/index.m3u8
广州综合,http://qwe.iptviptv.site:9694/hls/453/index.m3u8
广东新闻,http://qwe.iptviptv.site:9694/hls/454/index.m3u8
广东民生,http://qwe.iptviptv.site:9694/hls/455/index.m3u8
广东体育,http://qwe.iptviptv.site:9694/hls/456/index.m3u8
广东经济科教,http://qwe.iptviptv.site:9694/hls/457/index.m3u8
广东影视,http://qwe.iptviptv.site:9694/hls/458/index.m3u8
潮州综合,http://qwe.iptviptv.site:9694/hls/459/index.m3u8
潮州民生,http://qwe.iptviptv.site:9694/hls/460/index.m3u8
梅州导视,http://qwe.iptviptv.site:9694/hls/461/index.m3u8
广东导视(G导视),http://qwe.iptviptv.site:9694/hls/462/index.m3u8
港澳台频道,#genre#
翡翠台4k,http://qwe.iptviptv.site:9694/hls/902/index.m3u8
翡翠台(原版),http://qwe.iptviptv.site:9694/hls/98/index.m3u8
翡翠台(广电),http://qwe.iptviptv.site:9694/hls/99/index.m3u8
无线新闻台,http://qwe.iptviptv.site:9694/hls/906/index.m3u8
黃金翡翠台,http://qwe.iptviptv.site:9694/hls/916/index.m3u8
明珠台,http://qwe.iptviptv.site:9694/hls/103/index.m3u8
TVB PLUS,http://qwe.iptviptv.site:9694/hls/905/index.m3u8
V音乐台,http://qwe.iptviptv.site:9694/hls/1000/index.m3u8
HBO,http://qwe.iptviptv.site:9694/hls/1001/index.m3u8
今日俄罗斯,http://qwe.iptviptv.site:9694/hls/1003/index.m3u8
日本NHK,http://qwe.iptviptv.site:9694/hls/1004/index.m3u8
韩国KBS,http://qwe.iptviptv.site:9694/hls/1005/index.m3u8
千禧经典台,http://qwe.iptviptv.site:9694/hls/901/index.m3u8
Animax,http://qwe.iptviptv.site:9694/hls/903/index.m3u8
美亚电影台,http://qwe.iptviptv.site:9694/hls/904/index.m3u8
天映經典頻道,http://qwe.iptviptv.site:9694/hls/914/index.m3u8
卫视频道,#genre#
北京卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
山西卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000021220/1.m3u8
东南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
